canonical_facility_id,location_id,source_system,source_facility_id,source_record_type,official_name,display_name,normalized_name,operator_name,address_street1,address_street1_normalized,city,state,postal_code,borough_code,borough_name,geography_id,neighborhood_name,neighborhood_code,community_board,council_district,census_tract,boro_block_lot,bin,latitude,longitude,coordinate_source,coordinate_confidence,facility_type,facility_grouping,high_level_category,category,organization_name_type,observation_count,latest_inspection_date,latest_inspection_type,latest_violations_all,latest_violations_phh,latest_violations_critical,latest_violations_general,alternate_names,normalized_crosswalk_names,normalized_address_variants,preferred_keys
nyc-facility-40000002,nyc-loc-40000002,nyc-pool-inspection-tableau,40000002,Outdoor,ROBERTO CLEMENTE STATE PARK,ROBERTO CLEMENTE STATE PARK,roberto clemente state park,,301 WEST TREMONT AVENUE,301 w tremont ave,New York,NY,10453,BX,Bronx,bronx,,BX36,205,16,24700,2028820216,2009254,40.853573,-73.919459,tableau-hyper:Lat/Long,high,outdoor,ROBERTO CLEMENTE STATE PARK,Public - NYS Parks,NYS Parks,,2,2022-08-02,Routine Inspection,2,0,1,1,ROBERTO CLEMENTE STATE PARK,roberto clemente state park,301 w tremont ave|w tremont ave,source_id:40000002|source:accela:40000002|location_id:nyc-loc-40000002|bin:2009254|bbl:2028820216|name:roberto clemente state park|name_zip:roberto clemente state park|10453|name_geo:roberto clemente state park|bronx|name_address_zip:roberto clemente state park|301 w tremont ave|10453|name_address_zip:roberto clemente state park|w tremont ave|10453|address_zip:301 w tremont ave|10453|address_geo:301 w tremont ave|bronx|address_zip:w tremont ave|10453|address_geo:w tremont ave|bronx
nyc-facility-40000005,nyc-loc-40000005,nyc-pool-inspection-tableau,40000005,Indoor,SUNY MARITIME (STATE FACILITY),SUNY MARITIME,suny maritime state facility,,6 PENNYFIELD AVENUE,6 pennyfield ave,New York,NY,10465,BX,Bronx,bronx,Schuylerville-Throgs Neck-Edgewater Park,BX52,210,13,11800,2055300050,2100430,40.809103,-73.80125,tableau-hyper:Lat/Long,high,indoor,SUNY MARITIME (STATE FACILITY),University - Public/Private,SUNY,,1,2019-09-18,Routine Inspection,2,0,1,1,SUNY MARITIME (STATE FACILITY)|SUNY MARITIME,suny maritime state facility|suny maritime,6 pennyfield ave|pennyfield ave,source_id:40000005|source:accela:40000005|location_id:nyc-loc-40000005|bin:2100430|bbl:2055300050|name:suny maritime state facility|name_zip:suny maritime state facility|10465|name_geo:suny maritime state facility|bronx|name_address_zip:suny maritime state facility|6 pennyfield ave|10465|name_address_zip:suny maritime state facility|pennyfield ave|10465|name:suny maritime|name_zip:suny maritime|10465|name_geo:suny maritime|bronx|name_address_zip:suny maritime|6 pennyfield ave|10465|name_address_zip:suny maritime|pennyfield ave|10465|address_zip:6 pennyfield ave|10465|address_geo:6 pennyfield ave|bronx|address_zip:pennyfield ave|10465|address_geo:pennyfield ave|bronx
nyc-facility-40000014,nyc-loc-40000014,nyc-pool-inspection-tableau,40000014,Indoor,BROOKLYN CHILDREN PSYCH. CENTER (STATE FACILITY),BROOKLYN CHILDREN PSYCH. CENTER,brooklyn children psych center state facility,,1819 BERGEN STREET,1819 bergen st,New York,NY,11233,BK,Brooklyn,brooklyn,Ocean Hill,BK79,316,41,30300,3014450004,3038839,40.674535,-73.921262,tableau-hyper:Lat/Long,high,indoor,BROOKLYN CHILDREN PSYCH. CENTER (STATE FACILITY),Public - NYS,NYS,,1,2019-12-11,Routine Inspection,3,0,2,1,BROOKLYN CHILDREN PSYCH. CENTER (STATE FACILITY)|BROOKLYN CHILDREN PSYCH. CENTER,brooklyn children psych center state facility|brooklyn children psych center,1819 bergen st|bergen st,source_id:40000014|source:accela:40000014|location_id:nyc-loc-40000014|bin:3038839|bbl:3014450004|name:brooklyn children psych center state facility|name_zip:brooklyn children psych center state facility|11233|name_geo:brooklyn children psych center state facility|brooklyn|name_address_zip:brooklyn children psych center state facility|1819 bergen st|11233|name_address_zip:brooklyn children psych center state facility|bergen st|11233|name:brooklyn children psych center|name_zip:brooklyn children psych center|11233|name_geo:brooklyn children psych center|brooklyn|name_address_zip:brooklyn children psych center|1819 bergen st|11233|name_address_zip:brooklyn children psych center|bergen st|11233|address_zip:1819 bergen st|11233|address_geo:1819 bergen st|brooklyn|address_zip:bergen st|11233|address_geo:bergen st|brooklyn
nyc-facility-40000035,nyc-loc-40000035,nyc-pool-inspection-tableau,40000035,Indoor,FIORELLA H. LAGUARDIA COMMUNITY COLLEGE,FIORELLA H. LAGUARDIA COMMUNITY COLLEGE,fiorella h laguardia community college,,31-10 THOMPSON AVENUE,3110 thompson ave,New York,NY,11101,QU,Queens,queens,Hunters Point-Sunnyside-West Maspeth,QN31,402,26,17900,4002780001,4003534,40.744895,-73.935022,tableau-hyper:Lat/Long,high,indoor,FIORELLA H. LAGUARDIA COMMUNITY COLLEGE,University - Public/Private,CUNY,,1,2019-05-31,Routine Inspection,2,0,1,1,FIORELLA H. LAGUARDIA COMMUNITY COLLEGE,fiorella h laguardia community college,3110 thompson ave|thompson ave,source_id:40000035|source:accela:40000035|location_id:nyc-loc-40000035|bin:4003534|bbl:4002780001|name:fiorella h laguardia community college|name_zip:fiorella h laguardia community college|11101|name_geo:fiorella h laguardia community college|queens|name_address_zip:fiorella h laguardia community college|3110 thompson ave|11101|name_address_zip:fiorella h laguardia community college|thompson ave|11101|address_zip:3110 thompson ave|11101|address_geo:3110 thompson ave|queens|address_zip:thompson ave|11101|address_geo:thompson ave|queens
nyc-facility-40000058,nyc-loc-40000058,nyc-pool-inspection-tableau,40000058,Indoor,SUNY DOWNSTATE STUDENT CTR,SUNY DOWNSTATE STUDENT CTR,suny downstate student ctr,,394 LENOX ROAD,394 lenox rd,New York,NY,11203,BK,Brooklyn,brooklyn,Erasmus,BK95,317,40,81800,3048540007,3327730,40.654375,-73.946333,tableau-hyper:Lat/Long,high,indoor,SUNY DOWNSTATE STUDENT CTR,University - Public/Private,SUNY,,1,2019-11-19,Routine Inspection,3,1,1,1,SUNY DOWNSTATE STUDENT CTR,suny downstate student ctr,394 lenox rd|lenox rd,source_id:40000058|source:accela:40000058|location_id:nyc-loc-40000058|bin:3327730|bbl:3048540007|name:suny downstate student ctr|name_zip:suny downstate student ctr|11203|name_geo:suny downstate student ctr|brooklyn|name_address_zip:suny downstate student ctr|394 lenox rd|11203|name_address_zip:suny downstate student ctr|lenox rd|11203|address_zip:394 lenox rd|11203|address_geo:394 lenox rd|brooklyn|address_zip:lenox rd|11203|address_geo:lenox rd|brooklyn
nyc-facility-40000098,nyc-loc-40000098,nyc-pool-inspection-tableau,40000098,Indoor,S.I. DEVELOPMENTAL DISABILITIES SERVICES OFFICE,S.I. DEVELOPMENTAL DISABILITIES SERVICES OFFICE,s i developmental disabilities services office,,930 WILLOWBROOK ROAD,930 willowbrook rd,New York,NY,10314,SI,Staten Island,staten-island,New Springville-Bloomfield-Travis,SI05,502,50,27301,5020400400,5107306,40.60331,-74.141798,tableau-hyper:Lat/Long,high,indoor,S.I. DEVELOPMENTAL DISABILITIES SERVICES OFFICE,Public - NYS,NYS,,1,2019-12-16,Routine Inspection,4,0,1,3,S.I. DEVELOPMENTAL DISABILITIES SERVICES OFFICE,s i developmental disabilities services office,930 willowbrook rd|willowbrook rd,source_id:40000098|source:accela:40000098|location_id:nyc-loc-40000098|bin:5107306|bbl:5020400400|name:s i developmental disabilities services office|name_zip:s i developmental disabilities services office|10314|name_geo:s i developmental disabilities services office|staten-island|name_address_zip:s i developmental disabilities services office|930 willowbrook rd|10314|name_address_zip:s i developmental disabilities services office|willowbrook rd|10314|address_zip:930 willowbrook rd|10314|address_geo:930 willowbrook rd|staten-island|address_zip:willowbrook rd|10314|address_geo:willowbrook rd|staten-island
nyc-facility-40400002,nyc-loc-40400002,nyc-pool-inspection-tableau,40400002,Outdoor,RIVERBANK STATE PARK AQUATICS FACILITY,RIVERBANK STATE PARK AQUATICS FACILITY,riverbank state park aquatics facility,,679 RIVERSIDE DRIVE,679 riverside dr,New York,NY,10031,MA,Manhattan,manhattan,Hamilton Heights,MN04,109,7,23300,1021010117,1090431,40.827111,-73.95196,tableau-hyper:Lat/Long,high,outdoor,RIVERBANK STATE PARK AQUATICS FACILITY,Public - NYS Parks,NYS Parks,,1,2019-07-30,Routine Inspection,2,0,0,2,RIVERBANK STATE PARK AQUATICS FACILITY,riverbank state park aquatics facility,679 riverside dr|riverside dr,source_id:40400002|source:accela:40400002|location_id:nyc-loc-40400002|bin:1090431|bbl:1021010117|name:riverbank state park aquatics facility|name_zip:riverbank state park aquatics facility|10031|name_geo:riverbank state park aquatics facility|manhattan|name_address_zip:riverbank state park aquatics facility|679 riverside dr|10031|name_address_zip:riverbank state park aquatics facility|riverside dr|10031|address_zip:679 riverside dr|10031|address_geo:679 riverside dr|manhattan|address_zip:riverside dr|10031|address_geo:riverside dr|manhattan
nyc-facility-40425393,nyc-loc-40425393,nyc-pool-inspection-tableau,40425393,Indoor,COLONY CLUB,COLONY CLUB,colony club,,564 PARK AVENUE,564 park ave,New York,NY,10021,MA,Manhattan,manhattan,Upper East Side-Carnegie Hill,MN40,108,4,11401,1013770033,1040899,40.765044,-73.968254,tableau-hyper:Lat/Long,high,indoor,COLONY CLUB,Private Club,Private Club,,1,2019-01-03,Routine Inspection,0,0,0,0,COLONY CLUB,colony club,564 park ave|park ave,source_id:40425393|source:accela:40425393|location_id:nyc-loc-40425393|bin:1040899|bbl:1013770033|name:colony club|name_zip:colony club|10021|name_geo:colony club|manhattan|name_address_zip:colony club|564 park ave|10021|name_address_zip:colony club|park ave|10021|address_zip:564 park ave|10021|address_geo:564 park ave|manhattan|address_zip:park ave|10021|address_geo:park ave|manhattan
nyc-facility-40425398,nyc-loc-40425398,nyc-pool-inspection-tableau,40425398,Indoor,M. HEBREW ASSN. Y.,M. HEBREW ASSN. Y.,m hebrew assn y,,4910 14 AVENUE,4910 14 ave,New York,NY,11219,BK,Brooklyn,brooklyn,,BK88,312,44,23600,3056420033,3416888,40.633578,-73.990052,tableau-hyper:Lat/Long,high,indoor,M. HEBREW ASSN. Y.,Nonprofit,Nonprofit,,1,2022-12-27,Routine Inspection,3,0,0,3,M. HEBREW ASSN. Y.,m hebrew assn y,4910 14 ave|14 ave,source_id:40425398|source:accela:40425398|location_id:nyc-loc-40425398|bin:3416888|bbl:3056420033|name:m hebrew assn y|name_zip:m hebrew assn y|11219|name_geo:m hebrew assn y|brooklyn|name_address_zip:m hebrew assn y|4910 14 ave|11219|name_address_zip:m hebrew assn y|14 ave|11219|address_zip:4910 14 ave|11219|address_geo:4910 14 ave|brooklyn|address_zip:14 ave|11219|address_geo:14 ave|brooklyn
nyc-facility-40425399,nyc-loc-40425399,nyc-pool-inspection-tableau,40425399,Indoor,THE UNIVERSITY CLUB,THE UNIVERSITY CLUB,the university club,,1 WEST 54 STREET,1 w 54 st,New York,NY,10019,MA,Manhattan,manhattan,Midtown-Midtown South,MN17,105,4,10400,1012700034,1034800,40.761245,-73.975854,tableau-hyper:Lat/Long,high,indoor,THE UNIVERSITY CLUB,Private Club,Private Club,,1,2019-12-17,Routine Inspection,1,1,0,0,THE UNIVERSITY CLUB,the university club,1 w 54 st|w 54 st,source_id:40425399|source:accela:40425399|location_id:nyc-loc-40425399|bin:1034800|bbl:1012700034|name:the university club|name_zip:the university club|10019|name_geo:the university club|manhattan|name_address_zip:the university club|1 w 54 st|10019|name_address_zip:the university club|w 54 st|10019|address_zip:1 w 54 st|10019|address_geo:1 w 54 st|manhattan|address_zip:w 54 st|10019|address_geo:w 54 st|manhattan
