Permit_Type,Permit_ID,Facility_Name,ADDRESS_No,ADDRESS_St,BO,ZIP,Community_Board,Council_District,Census_tract,Boro-Block-Lot,BIN,NTA,NTA_Code,Indoor
ACCELA,41699809,NEW YORK CITY DEPARTMENT OF EDUCATION,120,EAST 184 STREET,BX,10457,205,14,23703,2031720046,2013899,Fordham South,BX40,Indoor
ACCELA,40425717,NYC BD OF ED/ P.S. 70,1691,WEEKS AVENUE,BX,10457,204,15,22902,2027930028,2007387,Mount Hope,BX41,Indoor
ACCELA,40425705,NYC BD OF ED/ABRAHAM LINCOLN H.S.,2800,OCEAN PARKWAY,BK,11235,313,47,35400,3072540001,3196293,BK23,BK23,Indoor
ACCELA,40425699,NYC BD OF ED/ANDREW JACKSON H.S.,207-01,116 AVENUE,QU,11411,413,27,53401,4110490001,4238003,QN33,QN33,Indoor
ACCELA,40425700,NYC BD OF ED/BAYSIDE HIGH SCHOOL,32-24,CORPORAL KENNEDY STREET,QU,11361,411,19,109700,4060440001,4134578,Bayside-Bayside Hills,QN46,Indoor
ACCELA,40425704,NYC BD OF ED/BROOKLYN TECH H.S.,29,FORT GREENE PL,BK,11217,302,35,3300,3020980013,3058752,BK68,BK68,Indoor
ACCELA,40425695,NYC BD OF ED/BUSHWICK HIGH SCHOOL,400,IRVING AVENUE,BK,11237,304,37,43500,3033650098,3076908,Bushwick North,BK77,Indoor
ACCELA,40425692,NYC BD OF ED/CURTIS HIGH SCHOOL,105,HAMILTON AVENUE,SI,10301,501,49,700,5000220001,5106483,West New Brighton-New Brighton-St. George,SI22,Indoor
ACCELA,40425694,NYC BD OF ED/ERASMUS HALL HIGH SCHOOL,911,Eras,BK,11226,314,40,79400,3051030010,3336215,Erasmus,BK95,Indoor
ACCELA,40425707,NYC BD OF ED/EVANDER CHILDS HIGH SCHOOL,800,EAST GUN HILL ROAD,BX,10467,212,12,37200,2046330040,2057045,Williamsbridge-Olinville,BX44,Indoor
ACCELA,40425686,NYC BD OF ED/FAR ROCKAWAY HIGH SCHOOL,821,BAY 25 STREET,QU,11691,414,31,100802,4157360001,4300730,Far Rockaway-Bayswater,QN15,Indoor
ACCELA,40943427,NYC BD OF ED/FORT HAMILTON HIGH SCHOOL,8301,SHORE RD,BK,11209,310,47,4600,3060130001,3152318,BK31,BK31,Indoor
ACCELA,40425697,NYC BD OF ED/FRANKLIN K. LANE H.S.,999,JAMAICA AVENUE,BK,11208,305,37,118000,3040940001,3090738,BK99,BK99,Indoor
ACCELA,40425724,NYC BD OF ED/GEORGE WASHINGTON H.S.,549,AUDUBON AVENUE,MA,10040,112,10,27700,1021600018,1076751,Washington Heights North,MN35,Indoor
ACCELA,40425688,NYC BD OF ED/GROVER CLEVELAND H.S.,21-27,HIMROD STREET,QU,11385,405,30,59500,4033630001,4080227,QN20,QN20,Indoor
ACCELA,40425714,NYC BD OF ED/HARRY S. TRUMAN HIGH SCHOOL,750,BAYCHESTER AVENUE,BX,10475,210,12,46201,2051410150,2116159,Co-op City,BX13,Indoor
ACCELA,40425689,NYC BD OF ED/JAMAICA  HIGH SCHOOL,167-01,GOTHIC DRIVE,QU,11432,408,24,45200,4098580100,4448806,QN35,QN35,Indoor
ACCELA,40425703,NYC BD OF ED/JAMES MADISON HIGH SCHOOL,3787,BEDFORD AVE,BK,11229,315,48,64200,3067880001,3182721,BK44,BK44,Indoor
ACCELA,40425696,NYC BD OF ED/JAMES MONROE HIGH SCHOOL,1300,BOYNTON AVENUE,BX,10472,209,18,5600,2038640001,2027459,West Farms-Bronx River,BX08,Indoor
ACCELA,40425690,NYC BD OF ED/JOHN ADAMS HIGH SCHOOL,101-01,ROCKAWAY BOULEVARD,QU,11471,410,32,86400,4095400002,4202849,South Ozone Park,QN55,Indoor
ACCELA,40425693,NYC BD OF ED/JOHN JAY HIGH SCHOOL,237,7 AVENUE,BK,11215,306,39,15500,3010820001,3025510,Park Slope-Gowanus,BK37,Indoor
ACCELA,40425806,NYC BD OF ED/LONG ISLAND CITY HIGH SCHOOL,14-30,BROADWAY,QU,11106,401,22,4500,4005290002,4467709,Astoria,QN70,Indoor
ACCELA,40425721,NYC BD OF ED/P.S. 11,320,WEST   21 STREET,MA,10011,104,3,8900,1007440024,1013260,MN13,MN13,Indoor
ACCELA,40425715,NYC BD OF ED/P.S. 125 - RALPH BUNCH SCHOOL,425,WEST 123 STREET,MA,10027,109,7,20901,1019640012,1059526,Morningside Heights,MN09,Indoor
